run_accession	study_accession	sample_accession	experiment_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
ERR12054096	PRJEB62462	SAMEA114388891	ERX11437317	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/096/ERR12054096/ERR12054096_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/096/ERR12054096/ERR12054096_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12054096/56040_Po62C_1_trimmed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12054096/56040_Po62C_2_trimmed.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR120/096/ERR12054096.bam
ERR12054097	PRJEB62462	SAMEA114388888	ERX11437318	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/097/ERR12054097/ERR12054097_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/097/ERR12054097/ERR12054097_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12054097/56041_P71C_1_trimmed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12054097/56041_P71C_2_trimmed.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR120/097/ERR12054097.bam
ERR12054100	PRJEB62462	SAMEA114388883	ERX11437321	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/000/ERR12054100/ERR12054100_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/000/ERR12054100/ERR12054100_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12054100/56044_P351C_1_trimmed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12054100/56044_P351C_2_trimmed.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR120/000/ERR12054100.bam
ERR12054101	PRJEB62462	SAMEA114388896	ERX11437322	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/001/ERR12054101/ERR12054101_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/001/ERR12054101/ERR12054101_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12054101/56045_V1982C_1_trimmed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12054101/56045_V1982C_2_trimmed.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR120/001/ERR12054101.bam
ERR12054102	PRJEB62462	SAMEA114388884	ERX11437323	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/002/ERR12054102/ERR12054102_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/002/ERR12054102/ERR12054102_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12054102/56046_P43AC_1_trimmed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12054102/56046_P43AC_2_trimmed.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR120/002/ERR12054102.bam
ERR12054110	PRJEB62462	SAMEA114388894	ERX11437331	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/010/ERR12054110/ERR12054110_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/010/ERR12054110/ERR12054110_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12054110/56054_Sh41C_1_trimmed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12054110/56054_Sh41C_2_trimmed.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR120/010/ERR12054110.bam
ERR12054093	PRJEB62462	SAMEA114388889	ERX11437314	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/093/ERR12054093/ERR12054093_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/093/ERR12054093/ERR12054093_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12054093/56037_Po151C_1_trimmed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12054093/56037_Po151C_2_trimmed.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR120/093/ERR12054093.bam
ERR12054094	PRJEB62462	SAMEA114388882	ERX11437315	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/094/ERR12054094/ERR12054094_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/094/ERR12054094/ERR12054094_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12054094/56038_P241C_1_trimmed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12054094/56038_P241C_2_trimmed.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR120/094/ERR12054094.bam
ERR12054095	PRJEB62462	SAMEA114388886	ERX11437316	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/095/ERR12054095/ERR12054095_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/095/ERR12054095/ERR12054095_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12054095/56039_P52C_1_trimmed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12054095/56039_P52C_2_trimmed.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR120/095/ERR12054095.bam
ERR12054098	PRJEB62462	SAMEA114388897	ERX11437319	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/098/ERR12054098/ERR12054098_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/098/ERR12054098/ERR12054098_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12054098/56042_V2031C_1_trimmed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR12054098/56042_V2031C_2_trimmed.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR120/098/ERR12054098.bam
