aroType,instanceCount
http://purl.obolibrary.org/obo/ARO_1000001,205
http://purl.obolibrary.org/obo/ARO_3000045,166
http://purl.obolibrary.org/obo/ARO_3004389,166
http://purl.obolibrary.org/obo/ARO_3004531,166
http://purl.obolibrary.org/obo/ARO_3000000,39
http://purl.obolibrary.org/obo/ARO_3000557,18
http://purl.obolibrary.org/obo/ARO_3007380,16
http://purl.obolibrary.org/obo/ARO_3000381,11
http://purl.obolibrary.org/obo/ARO_3001218,8
http://purl.obolibrary.org/obo/ARO_3003425,8
http://purl.obolibrary.org/obo/ARO_3000121,7
http://purl.obolibrary.org/obo/ARO_3000159,6
http://purl.obolibrary.org/obo/ARO_0010002,6
http://purl.obolibrary.org/obo/ARO_3000218,5
http://purl.obolibrary.org/obo/ARO_3000322,5
http://purl.obolibrary.org/obo/ARO_3000114,4
http://purl.obolibrary.org/obo/ARO_3000232,4
http://purl.obolibrary.org/obo/ARO_3007407,4
http://purl.obolibrary.org/obo/ARO_3004275,4
http://purl.obolibrary.org/obo/ARO_3004238,3
http://purl.obolibrary.org/obo/ARO_3000122,2
http://purl.obolibrary.org/obo/ARO_3000185,2
http://purl.obolibrary.org/obo/ARO_3000419,2
http://purl.obolibrary.org/obo/ARO_3007385,2
http://purl.obolibrary.org/obo/ARO_3000345,2
http://purl.obolibrary.org/obo/ARO_3000127,1
http://purl.obolibrary.org/obo/ARO_3007414,1
http://purl.obolibrary.org/obo/ARO_3002639,1
http://purl.obolibrary.org/obo/ARO_3000151,1
http://purl.obolibrary.org/obo/ARO_3007415,1
http://purl.obolibrary.org/obo/ARO_3002660,1
http://purl.obolibrary.org/obo/ARO_3000165,1
http://purl.obolibrary.org/obo/ARO_3000410,1
http://purl.obolibrary.org/obo/ARO_3000412,1
http://purl.obolibrary.org/obo/ARO_3002683,1
http://purl.obolibrary.org/obo/ARO_3000270,1
http://purl.obolibrary.org/obo/ARO_3004282,1
http://purl.obolibrary.org/obo/ARO_3004277,1
http://purl.obolibrary.org/obo/ARO_3005044,1
http://purl.obolibrary.org/obo/ARO_3005348,1
http://purl.obolibrary.org/obo/ARO_3002705,1
http://purl.obolibrary.org/obo/ARO_3003963,1
http://purl.obolibrary.org/obo/ARO_3000126,1
http://purl.obolibrary.org/obo/ARO_3002641,1
http://purl.obolibrary.org/obo/ARO_3007406,1
http://purl.obolibrary.org/obo/ARO_3000230,1
http://purl.obolibrary.org/obo/ARO_3007405,1
http://purl.obolibrary.org/obo/ARO_3004276,1
http://purl.obolibrary.org/obo/ARO_3002790,1
http://purl.obolibrary.org/obo/ARO_3004623,1
http://purl.obolibrary.org/obo/ARO_3002602,1
http://purl.obolibrary.org/obo/ARO_3002854,1
http://purl.obolibrary.org/obo/ARO_3002540,1
http://purl.obolibrary.org/obo/ARO_3007388,1
http://purl.obolibrary.org/obo/ARO_3000166,1
http://purl.obolibrary.org/obo/ARO_3007387,1
http://purl.obolibrary.org/obo/ARO_3000155,1
http://purl.obolibrary.org/obo/ARO_3002655,1
http://purl.obolibrary.org/obo/ARO_3007418,1
http://purl.obolibrary.org/obo/ARO_3003580,1
http://purl.obolibrary.org/obo/ARO_3003689,1
http://purl.obolibrary.org/obo/ARO_3004268,1
http://purl.obolibrary.org/obo/ARO_3004112,1
http://purl.obolibrary.org/obo/ARO_3000413,1
http://purl.obolibrary.org/obo/ARO_3002693,1
http://purl.obolibrary.org/obo/ARO_3002858,1
http://purl.obolibrary.org/obo/ARO_3003014,1
http://purl.obolibrary.org/obo/ARO_3002621,1
http://purl.obolibrary.org/obo/ARO_3002863,1
http://purl.obolibrary.org/obo/ARO_3007395,1
http://purl.obolibrary.org/obo/ARO_3002576,1
http://purl.obolibrary.org/obo/ARO_3002533,1
http://purl.obolibrary.org/obo/ARO_3002860,1
http://purl.obolibrary.org/obo/ARO_3002605,1
http://purl.obolibrary.org/obo/ARO_3000566,1
http://purl.obolibrary.org/obo/ARO_3002861,1
http://purl.obolibrary.org/obo/ARO_3002718,1
http://purl.obolibrary.org/obo/ARO_3002859,1
http://purl.obolibrary.org/obo/ARO_3002528,1
http://purl.obolibrary.org/obo/ARO_3007384,1
http://purl.obolibrary.org/obo/ARO_3000476,1
http://purl.obolibrary.org/obo/ARO_3002676,1
http://purl.obolibrary.org/obo/ARO_3005113,1
