name,type,ontology,ontology url class
Upper respiratory tract,human,UBERON,http://purl.obolibrary.org/obo/UBERON_0001557
Intestine,human,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12736
Urethra,human,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12417
Trachea,human,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12428
Urine,human,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13283
Bronchus,human,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12683
Anterior Nares,human,SNOMEDCT,http://purl.bioontology.org/ontology/SNOMEDCT/697989009
Tissue,human,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12801
Tear,human,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C33739
Esophagus,human,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12389
Breast Milk,human,ENVO,http://purl.obolibrary.org/obo/ENVO_02000031
Inferior Nasal Turbinate,human,SNOMEDCT,http://purl.bioontology.org/ontology/SNOMEDCT/361932000
Alveolar sac,human,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C32057
Fluid (Pericardial),human,SNOMEDCT,http://purl.bioontology.org/ontology/SNOMEDCT/34429004
Mucus,human,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13259
Sinus,human,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C33556
Skin,human,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12470
Rectum,human,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12390
Semen,human,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13277
Pleural sac,human,UBERON,http://purl.obolibrary.org/obo/UBERON_0009778
Sputum,human,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13278
Sweat,human,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13280
Anus,human,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43362
Nasal Cavity,human,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12424
Duodenum,human,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12263
Catheter,human,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C50344
Blood,human,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12434
Cranial hair,human,UBERON,http://purl.obolibrary.org/obo/UBERON_1000001
Oropharynx (OP),human,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12762
Fluid (Amniotic),human,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13188
Bone and joint,human,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12366
Fluid (Vaginal),human,UBERON,http://purl.obolibrary.org/obo/UBERON_0036243
Dialysis,human,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C15221
Ethmoid sinus,human,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12276
Middle Nasal Turbinate,human,SNOMEDCT,http://purl.bioontology.org/ontology/SNOMEDCT/60962000
Saliva,human,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13275
Vagina,human,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12407
Surgical site,human,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C164323
Not Collected,human,OWL,http://www.w3.org/2002/07/owl#Thing
Lower respiratory tract,human,UBERON,http://purl.obolibrary.org/obo/UBERON_0001558
Feces,human,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13234
Nasopharynx (NP),human,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12423
Eye,human,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12401
